time,Demand (MW)
2016-01-01 01:00:00,67929.0
2016-01-01 02:00:00,66212.0
2016-01-01 03:00:00,64903.0
2016-01-01 04:00:00,64091.0
2016-01-01 05:00:00,63985.0
2016-01-01 06:00:00,64531.0
2016-01-01 07:00:00,65566.0
2016-01-01 08:00:00,66790.0
2016-01-01 09:00:00,67749.0
2016-01-01 10:00:00,68777.0
2016-01-01 11:00:00,70299.0
2016-01-01 12:00:00,71392.0
2016-01-01 13:00:00,71584.0
2016-01-01 14:00:00,70926.0
2016-01-01 15:00:00,69796.0
2016-01-01 16:00:00,69144.0
2016-01-01 17:00:00,69192.0
2016-01-01 18:00:00,71479.0
2016-01-01 19:00:00,75876.0
2016-01-01 20:00:00,76569.0
2016-01-01 21:00:00,75933.0
2016-01-01 22:00:00,74786.0
2016-01-01 23:00:00,73039.0
2016-01-02 00:00:00,70356.0
2016-01-02 01:00:00,67926.0
2016-01-02 02:00:00,66079.0
2016-01-02 03:00:00,64805.0
2016-01-02 04:00:00,64213.0
2016-01-02 05:00:00,64229.0
2016-01-02 06:00:00,64879.0
2016-01-02 07:00:00,65970.0
2016-01-02 08:00:00,68386.0
2016-01-02 09:00:00,70474.0
2016-01-02 10:00:00,71933.0
2016-01-02 11:00:00,72793.0
2016-01-02 12:00:00,72687.0
2016-01-02 13:00:00,71652.0
2016-01-02 14:00:00,70083.0
2016-01-02 15:00:00,68698.0
2016-01-02 16:00:00,67678.0
2016-01-02 17:00:00,67747.0
2016-01-02 18:00:00,70210.0
2016-01-02 19:00:00,75217.0
2016-01-02 20:00:00,76276.0
2016-01-02 21:00:00,75702.0
2016-01-02 22:00:00,74705.0
2016-01-02 23:00:00,73101.0
2016-01-03 00:00:00,71085.0
2016-01-03 01:00:00,68270.0
2016-01-03 02:00:00,66138.0
2016-01-03 03:00:00,64688.0
2016-01-03 04:00:00,64005.0
2016-01-03 05:00:00,63788.0
2016-01-03 06:00:00,64223.0
2016-01-03 07:00:00,65224.0
2016-01-03 08:00:00,66634.0
2016-01-03 09:00:00,68589.0
2016-01-03 10:00:00,70039.0
2016-01-03 11:00:00,70803.0
2016-01-03 12:00:00,70750.0
2016-01-03 13:00:00,70228.0
2016-01-03 14:00:00,69768.0
2016-01-03 15:00:00,69228.0
2016-01-03 16:00:00,68717.0
2016-01-03 17:00:00,69124.0
2016-01-03 18:00:00,72037.0
2016-01-03 19:00:00,76851.0
2016-01-03 20:00:00,78325.0
2016-01-03 21:00:00,78143.0
2016-01-03 22:00:00,76752.0
2016-01-03 23:00:00,74390.0
2016-01-04 00:00:00,71953.0
2016-01-04 01:00:00,69536.0
2016-01-04 02:00:00,68176.0
2016-01-04 03:00:00,67423.0
2016-01-04 04:00:00,67539.0
2016-01-04 05:00:00,68413.0
2016-01-04 06:00:00,70248.0
2016-01-04 07:00:00,74987.0
