,Objective_Value
0,132315.6018015564
1,132232.72785716402
2,132830.50800461805
3,132235.84778145797
4,132980.3147896136
5,132128.00693148226
6,133904.97583510543
7,133454.66000374677
8,132343.10104871687
9,132348.01793627135
10,132726.35732896905
11,133084.146846207
12,132454.13632556496
13,132478.1769551132
14,132265.2601222699
15,132726.17017740317
16,132600.43899995583
17,132185.86735370464
18,132933.45664561747
19,133233.8631704686
20,130759.74758803876
21,129814.35866808379
22,129767.87057338087
23,130265.41140032382
24,130554.20823420119
25,130622.07767189937
26,130783.00783391522
27,130033.58867941226
28,130330.59865004555
29,130393.86339007516
30,130683.8169536933
31,130631.37504596276
32,130328.71040232983
33,130312.72422237066
34,130644.23596120969
35,129648.44792155111
36,130793.60646325267
37,129737.70385777234
38,129777.3473723269
39,130603.54632712013
40,131696.27123767935
41,131841.81382970366
42,131116.62466029686
43,131414.88355989763
44,130979.37316141959
45,131384.32174533088
46,131596.3628617549
47,131027.91307208268
48,132098.09049654595
49,132314.03635897033
50,131661.68740471758
51,129556.21130656815
52,131204.72547917662
53,131070.95017422695
54,131605.31914520334
55,130676.6471990401
56,131047.66680368422
57,131365.18108653862
58,132073.04363868447
59,132004.60263464824
60,130734.91167774414
61,130982.5102966663
62,130414.4872656053
63,129675.92494304852
64,130986.48757146731
65,130669.14071725674
66,131569.86614226634
67,130963.57035175237
68,130467.60146296705
69,130387.69613148423
70,132203.6884742132
71,131535.00064651456
72,130508.63976968729
73,131184.66303882553
74,131783.41154435527
75,132017.35825639186
76,131733.88134737095
77,131309.5073457643
78,131568.70341935667
79,131872.7702421636
80,133762.98466078262
81,133829.1972255141
82,133193.11627233168
83,133624.7749065836
84,133999.09422663934
85,133262.48198432868
86,134124.60102472233
87,132515.22313019395
88,133735.7033210233
89,134338.42222555916
90,131458.81209589491
91,131802.76810710985
92,131837.2101776467
93,131795.76730147377
94,131827.53710671174
95,131080.2341380705
96,131928.26131572702
97,131393.14136435307
98,131585.05176613253
99,131579.24900922747
100,127976.36003250397
