,Objective_Value
0,151025.62413347402
1,144134.48992653817
2,147751.60315895785
3,145313.159879596
4,150157.66949390835
5,143811.85740376837
6,153298.10876519186
7,150554.7134060822
8,144684.08047947954
9,148047.95792429865
10,151490.71363398203
11,146952.77756593618
12,142121.10677286456
13,144736.03808562603
14,151415.98136135458
15,145564.73429276692
16,143058.70076266187
17,141588.83307175478
18,145155.69310222988
19,148376.71931538373
20,145349.5699571075
21,140029.64712457344
22,144907.85675892257
23,144707.64679664825
24,148150.59754818893
25,145264.41214012567
26,142505.90040053357
27,141471.1647593604
28,144248.04114620955
29,144125.2659394031
30,150819.7904506243
31,144976.11423344296
32,147746.27848112027
33,146356.0488884317
34,150360.9695623136
35,146398.14516374937
36,149279.10117617183
37,143012.76768198845
38,143094.2449892878
39,153008.32636344552
40,153136.8130333489
41,147883.4215334491
42,150878.60205532913
43,152237.48628981345
44,149987.01003545715
45,147037.55385469508
46,142784.22644079995
47,142171.3549849748
48,148039.8646614947
49,146936.5873777833
50,146138.99761226046
51,138768.6543996598
52,144203.548883123
53,146282.7687832664
54,148700.07846884962
55,141578.11870641963
56,142572.89448894918
57,142167.77093445486
58,146560.18911077123
59,150099.86072669548
60,147030.65540095457
61,144742.23703842674
62,143987.0326316053
63,145366.26961531013
64,152234.3138159319
65,149041.19296044423
66,147680.33032066296
67,145369.3425789186
68,145972.59216166247
69,148835.27888749522
70,153050.47623863656
71,146234.82553228128
72,143924.75215432158
73,146650.00450585465
74,151271.04127529587
75,148863.1293599489
76,149573.34566916781
77,143980.5435833695
78,146006.48406896772
79,153135.9640327474
80,148357.93085270326
81,144783.2521684941
82,146356.30399563664
83,147597.7088369766
84,150714.37653059702
85,146318.55723416418
86,150095.21438857535
87,141741.19511587452
88,149686.56871860227
89,150915.71538091626
90,151828.15993747214
91,145881.96906738335
92,144012.02961695634
93,146481.67118155977
94,150003.96052395116
95,145595.55316811937
96,149243.66344120636
97,146973.57335042802
98,142721.44040802564
99,144603.3667893862
100,141064.84056119845
