time,Demand (MW)
2016-01-01 01:00:00,78661.0
2016-01-01 02:00:00,77817.0
2016-01-01 03:00:00,76287.0
2016-01-01 04:00:00,75546.0
2016-01-01 05:00:00,75832.0
2016-01-01 06:00:00,77131.0
2016-01-01 07:00:00,77993.0
2016-01-01 08:00:00,79322.0
2016-01-01 09:00:00,80223.0
2016-01-01 10:00:00,82092.0
2016-01-01 11:00:00,83980.0
2016-01-01 12:00:00,85120.0
2016-01-01 13:00:00,85424.0
2016-01-01 14:00:00,84931.0
2016-01-01 15:00:00,84456.0
2016-01-01 16:00:00,84708.0
2016-01-01 17:00:00,87027.0
2016-01-01 18:00:00,93346.0
2016-01-01 19:00:00,94895.0
2016-01-01 20:00:00,94314.0
2016-01-01 21:00:00,93318.0
2016-01-01 22:00:00,91492.0
2016-01-01 23:00:00,88444.0
2016-01-02 00:00:00,85013.0
2016-01-02 01:00:00,82481.0
2016-01-02 02:00:00,81089.0
2016-01-02 03:00:00,80315.0
2016-01-02 04:00:00,80079.0
2016-01-02 05:00:00,79933.0
2016-01-02 06:00:00,81738.0
2016-01-02 07:00:00,84522.0
2016-01-02 08:00:00,87177.0
2016-01-02 09:00:00,88922.0
2016-01-02 10:00:00,89181.0
2016-01-02 11:00:00,88670.0
2016-01-02 12:00:00,87438.0
2016-01-02 13:00:00,85880.0
2016-01-02 14:00:00,84216.0
2016-01-02 15:00:00,83112.0
2016-01-02 16:00:00,82383.0
2016-01-02 17:00:00,84743.0
2016-01-02 18:00:00,91886.0
2016-01-02 19:00:00,95209.0
2016-01-02 20:00:00,95209.0
2016-01-02 21:00:00,94488.0
2016-01-02 22:00:00,93026.0
2016-01-02 23:00:00,90170.0
2016-01-03 00:00:00,87267.0
2016-01-03 01:00:00,85565.0
2016-01-03 02:00:00,83682.0
2016-01-03 03:00:00,82363.0
2016-01-03 04:00:00,81902.0
2016-01-03 05:00:00,81778.0
2016-01-03 06:00:00,82236.0
2016-01-03 07:00:00,83970.0
2016-01-03 08:00:00,86068.0
2016-01-03 09:00:00,87641.0
2016-01-03 10:00:00,87338.0
2016-01-03 11:00:00,86350.0
2016-01-03 12:00:00,85146.0
2016-01-03 13:00:00,85290.0
2016-01-03 14:00:00,85643.0
2016-01-03 15:00:00,85531.0
2016-01-03 16:00:00,85027.0
2016-01-03 17:00:00,87824.0
2016-01-03 18:00:00,95366.0
2016-01-03 19:00:00,98120.0
2016-01-03 20:00:00,98116.0
2016-01-03 21:00:00,97105.0
2016-01-03 22:00:00,93950.0
2016-01-03 23:00:00,89841.0
2016-01-04 00:00:00,86158.0
2016-01-04 01:00:00,84840.0
2016-01-04 02:00:00,84016.0
2016-01-04 03:00:00,83759.0
2016-01-04 04:00:00,84326.0
2016-01-04 05:00:00,85344.0
2016-01-04 06:00:00,89401.0
2016-01-04 07:00:00,98774.0
2016-01-04 08:00:00,104610.0
2016-01-04 09:00:00,104724.0
2016-01-04 10:00:00,104091.0
2016-01-04 11:00:00,103697.0
2016-01-04 12:00:00,102867.0
2016-01-04 13:00:00,102463.0
2016-01-04 14:00:00,102926.0
2016-01-04 15:00:00,102853.0
2016-01-04 16:00:00,103714.0
2016-01-04 17:00:00,106706.0
2016-01-04 18:00:00,114489.0
2016-01-04 19:00:00,117703.0
2016-01-04 20:00:00,117345.0
2016-01-04 21:00:00,116292.0
2016-01-04 22:00:00,113231.0
2016-01-04 23:00:00,107936.0
2016-01-05 00:00:00,103139.0
2016-01-05 01:00:00,101569.0
2016-01-05 02:00:00,100693.0
2016-01-05 03:00:00,100644.0
2016-01-05 04:00:00,101056.0
2016-01-05 05:00:00,103239.0
2016-01-05 06:00:00,108238.0
2016-01-05 07:00:00,117003.0
2016-01-05 08:00:00,122567.0
2016-01-05 09:00:00,121341.0
2016-01-05 10:00:00,117455.0
2016-01-05 11:00:00,114603.0
2016-01-05 12:00:00,111613.0
2016-01-05 13:00:00,108666.0
2016-01-05 14:00:00,107475.0
2016-01-05 15:00:00,105460.0
2016-01-05 16:00:00,104906.0
2016-01-05 17:00:00,106943.0
2016-01-05 18:00:00,114710.0
2016-01-05 19:00:00,118464.0
2016-01-05 20:00:00,118470.0
2016-01-05 21:00:00,117396.0
2016-01-05 22:00:00,113989.0
2016-01-05 23:00:00,108592.0
2016-01-06 00:00:00,104705.0
2016-01-06 01:00:00,102681.0
2016-01-06 02:00:00,101055.0
2016-01-06 03:00:00,100797.0
