BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
5.1942102,2.2556,23.456967,0.6888,12.42,50.5668,29.282677
2.1094118,2.2556,20.395856,0.6888,12.42,49.767729,34.143737
0.52270673,2.2556,37.802447,0.6888,12.42,68.616581,19.882699
2.1198859,2.2556,27.358843,0.6888,12.42,44.35633,32.613658
3.5194842,2.2556,24.404738,0.6888,12.42,40.380434,36.528467
1.6757827,2.2556,24.276139,0.6888,12.42,54.137488,30.506719
2.7491611,2.2556,38.275567,0.6888,12.42,55.921055,23.393749
0.85033503,2.2556,40.640917,0.6888,12.42,52.347412,27.040886
1.2197176,2.2556,25.133136,0.6888,12.42,44.838216,35.807323
3.7192267,2.2556,26.697524,0.6888,12.42,62.624579,22.346615
5.3772232,2.2556,24.049369,0.6888,12.42,49.313505,29.781004
2.9259159,2.2556,28.038251,0.6888,12.42,52.730697,27.429385
0.25998235,2.2556,26.899356,0.6888,12.42,54.260233,30.401268
1.5485813,2.2556,25.055352,0.6888,12.42,47.421285,34.084595
4.402888,2.2556,20.316498,0.6888,12.42,31.441724,42.925168
2.1536407,2.2556,24.349533,0.6888,12.42,54.454423,30.268336
1.0986528,2.2556,23.498895,0.6888,12.42,55.271669,30.514638
0.67539015,2.2556,23.049111,0.6888,12.42,53.115212,31.997914
2.0048016,2.2556,24.30916,0.6888,12.42,52.202126,30.950625
3.2998768,2.2556,29.23435,0.6888,12.42,65.630243,20.096332
3.0684679,2.2556,25.265136,0.6888,12.42,47.591263,30.023425
1.2381198,2.2556,24.795024,0.6888,12.42,43.236397,32.938282
3.3666131,2.2556,21.975937,0.6888,12.42,46.201753,32.759645
2.865734,2.2556,26.185832,0.6888,12.42,54.133769,26.601005
3.7377718,2.2556,23.143464,0.6888,12.42,40.496159,35.634885
3.1544656,2.2556,29.639048,0.6888,12.42,45.975913,27.48828
1.2984056,2.2556,25.777553,0.6888,12.42,57.70778,26.856193
1.1531297,2.2556,21.930411,0.6888,12.42,52.302371,32.078229
2.4711878,2.2556,21.514036,0.6888,12.42,43.197587,35.652787
2.8632794,2.2556,27.240759,0.6888,12.42,45.635328,29.425832
5.5445184,2.2556,21.380578,0.6888,12.42,47.866362,31.163651
2.3622464,2.2556,18.334599,0.6888,12.42,45.384263,37.763938
