BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
2.7146166,2.2556,39.813245,0.6888,12.42,57.065811,24.837749,0,0,0
3.8268516,2.2556,35.331663,0.6888,12.42,47.783583,27.266479,0,0,0
7.4875953,2.2556,31.328838,0.6888,12.42,29.676528,32.188907,0,0,0
4.6477844,2.2556,38.284279,0.6888,12.42,53.467055,21.609145,4.4800559E-09,0,0
7.5275134,2.2556,33.726666,0.6888,12.42,44.425275,25.016957,0,0,0
3.260941,2.2556,38.477344,0.6888,12.42,56.560498,23.39885,0,0,0
4.2840449,2.2556,38.831424,0.6888,12.42,64.936397,20.931639,8.3046625E-11,0,0
6.0111794,2.2556,38.889414,0.6888,12.42,57.643337,19.787935,4.7359338E-09,0,0
4.5177401,2.2556,35.990827,0.6888,12.42,50.036636,25.315051,0,0,0
3.4754147,2.2556,36.571761,0.6888,12.42,44.381474,28.896035,0,0,0
6.410761,2.2556,33.63392,0.6888,12.42,37.69894,29.146942,4.4372969E-09,0,0
4.4884013,2.2556,35.713061,0.6888,12.42,48.857397,28.374975,0,0,0
5.0185977,2.2556,36.119886,0.6888,12.42,50.056362,25.301532,0,0,0
6.3585528,2.2556,32.80798,0.6888,12.42,37.171258,30.240545,0,0,0
5.3360209,2.2556,37.938467,0.6888,12.42,53.953784,23.0128,0,0,0
8.0752416,2.2556,35.806225,0.6888,12.42,47.647856,23.100452,0,0,0
4.9924598,2.2556,37.700288,0.6888,12.42,56.215795,22.749224,1.4967416E-10,0,0
3.7420098,2.2556,28.5583,0.6888,12.42,52.103156,14.703021,4.330555,0,0
4.1979627,2.2556,29.632719,0.6888,12.42,54.939173,12.840851,3.8876948,0,0
5.0848062,2.2556,35.519048,0.6888,12.42,52.283175,24.368905,0,0,0
4.033219,2.2556,34.962477,0.6888,12.42,44.322755,28.728263,0,0,0
6.9407646,2.2556,34.383435,0.6888,12.42,38.087216,28.407557,8.3294243E-10,0,0
4.260308,2.2556,25.235062,0.6888,12.42,41.993634,11.232319,5.9790231,0,0
6.7635856,2.2556,36.294962,0.6888,12.42,44.048644,24.294247,0,0,0
4.9983328,2.2556,35.017201,0.6888,12.42,47.999552,26.348592,0,0,0
4.9734871,2.2556,34.557619,0.6888,12.42,59.902714,21.964169,0,0,0
8.4152457,2.2556,35.530352,0.6888,12.42,47.935025,21.836568,0,0,0
4.9738453,2.2556,37.085185,0.6888,12.42,57.220119,21.308451,0,0,0
5.1864084,2.2556,36.252233,0.6888,12.42,53.535099,24.24463,0,0,0
3.7882072,2.2556,38.839866,0.6888,12.42,61.843243,21.029947,0,0,0
3.6597761,2.2556,36.917535,0.6888,12.42,47.287895,26.894852,0,0,0
2.4456749,2.2556,38.127047,0.6888,12.42,55.504621,25.118633,0,0,0
7.4385757,2.2556,34.607379,0.6888,12.42,42.195643,25.903225,0,0,0
3.3822633,2.2556,27.034544,0.6888,12.42,44.630254,14.132402,5.3291582,0,0
5.5867747,2.2556,33.845307,0.6888,12.42,51.939728,23.850432,0,0,0
6.6618672,2.2556,33.000955,0.6888,12.42,36.013278,30.366555,3.4266154E-09,0,0
3.5412485,2.2556,37.113024,0.6888,12.42,60.297291,21.229069,0,0,0
7.4750096,2.2556,31.448977,0.6888,12.42,41.972029,27.174141,0,0,0
3.5017721,2.2556,38.38088,0.6888,12.42,52.476145,23.819249,3.2972566E-09,0,0
6.0847185,2.2556,35.887367,0.6888,12.42,51.17031,25.03179,0,0,0
4.3454626,2.2556,38.084918,0.6888,12.42,62.800652,20.422485,1.4837853E-09,0,0
4.0188258,2.2556,35.718694,0.6888,12.42,47.217228,27.488205,0,0,0
4.3983644,2.2556,35.662982,0.6888,12.42,53.157369,24.780297,2.42559E-10,0,0
7.417998,2.2556,32.024629,0.6888,12.42,39.510574,27.146275,0,0,0
3.641448,2.2556,24.695346,0.6888,12.42,42.11366,13.804253,5.8470913,0,0
