year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2025,7.5059,0.1281,16.3716,12.42,0.2672,6.29482,1.2264259
2030,5.04524,10.068166999999999,16.3327,12.42,6.887717800000001,5.61546,9.2692798
2035,2.81574,10.052087,15.903979999999999,12.42,7.2888141,3.21062,10.906638999999998
2040,2.4444,10.16018,5.02332,12.42,7.2708741,1.91224,12.424218000000002
2045,2.35704,10.036622,0.6888,12.42,7.0736341000000005,0.0,14.168999
2050,2.2556,10.705351,0.6888,12.42,10.009827999999999,0.0,14.933788
2025,7.5059,0.1281,16.3716,12.42,0.2672,6.29482,1.2069151
2030,5.04524,9.553716399999999,16.3327,12.42,9.6741571,5.61546,9.051495300000001
2035,2.81574,10.601839,15.903979999999999,12.42,9.6533371,3.21062,10.470533
2040,2.4444,10.658641,5.02332,12.42,9.6353971,2.0777683000000002,11.976607
2045,2.35704,11.183876,0.6888,12.42,9.4381571,2.4791264,13.008726000000001
2050,2.2556,12.528167999999999,0.6888,12.42,12.543453,4.882782,13.008726000000001
2025,7.5059,0.1281,16.3716,12.42,0.2672,6.29482,1.2378777
2030,5.04524,9.253566500000002,16.3327,12.42,4.5107011,5.61546,9.9762215
2035,2.81574,10.709754,15.903979999999999,12.42,9.301628000000001,3.21062,10.649695
2040,2.4444,10.945791,5.02332,12.42,9.283688,1.91224,12.051946
2045,2.35704,10.276884,0.6888,12.42,9.086448,0.062072927,13.880357
2050,2.2556,11.891679,0.6888,12.42,11.435921,1.603176,14.125988999999999
2025,7.5059,0.1281,16.3716,12.42,0.2672,6.29482,1.1705401
2030,5.04524,10.651975,16.3327,12.42,9.1722875,5.61546,8.8421104
2035,2.81574,10.710973,15.903979999999999,12.42,9.1514675,3.21062,10.557374
2040,2.4444,10.710973,5.02332,12.42,9.1335275,2.2206934,12.029695
2045,2.35704,10.34692,0.6888,12.42,8.9362875,0.30845343000000003,13.82166
2050,2.2556,12.00859,0.6888,12.42,8.9068875,3.4526736000000002,13.92868
2025,7.5059,0.1281,16.3716,12.42,0.2672,6.29482,1.3032108
2030,5.04524,10.493075999999999,16.3327,12.42,4.993804,5.61546,9.558992
2035,2.81574,10.476996,15.903979999999999,12.42,6.4208564,3.21062,11.046448
2040,2.4444,10.476996,5.02332,12.42,7.187451,1.91224,12.443071
2045,2.35704,10.028589,0.6888,12.42,6.990211,0.0,14.179878
2050,2.2556,10.705776,0.6888,12.42,10.008237999999999,0.0,14.933788
2025,7.5059,0.1281,16.3716,12.42,0.2672,6.29482,1.1685878
2030,5.04524,10.005126,16.3327,12.42,7.2110449,5.61546,9.2276819
2035,2.81574,10.151731,15.903979999999999,12.42,7.3488292,3.21062,10.911042
2040,2.4444,10.372138999999999,5.02332,12.42,7.3308892,1.91224,12.369814
