year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
2025,0.0,7.5059,1.4234404999999999,16.3716,12.42,0.2672,9.606661899999999,0.0,0.0,0.0
2030,2.7146166,5.04524,27.024179,16.3327,12.42,38.767026,17.138150000000003,0.0,0.0,0.0
2035,2.7146166,2.81574,30.237208,15.903979999999999,12.42,43.376248,18.999333999999998,0.0,0.0,0.0
2040,2.7146166,2.4444,33.437943,5.02332,12.42,47.95854,20.910216000000002,0.0,0.0,0.0
2045,2.7146166,2.35704,36.625594,0.6888,12.42,52.512175000000006,22.873983,0.0,0.0,0.0
2050,2.7146166,2.2556,39.813245,0.6888,12.42,57.065811000000004,24.837749,0.0,0.0,0.0
2025,0.0,7.5059,1.0431716,16.3716,12.42,0.2672,8.554619800000001,0.0,0.0,0.0
2030,3.8268516,5.04524,23.748712,16.3327,12.42,32.4437,17.927436,0.0,0.0,0.0
2035,3.8268516,2.81574,26.240076000000002,15.903979999999999,12.42,36.486095,20.387998,0.0,0.0,0.0
2040,3.8268516,2.4444,29.255194,5.02332,12.42,40.211808,22.697625,0.0,0.0,0.0
2045,3.8268516,2.35704,32.29065,0.6888,12.42,43.906497,25.055053,0.0,0.0,0.0
2050,3.8268516,2.2556,35.331663,0.6888,12.42,47.783583,27.266479,0.0,0.0,0.0
2025,0.0,7.5059,1.1051568,16.3716,12.42,0.2672,8.748531999999999,0.0,0.0,0.0
2030,7.4778322,5.04524,18.324109,16.3327,12.42,17.368205999999997,20.010413,0.0,0.0,0.0
2035,7.4875953,2.81574,21.011648,15.903979999999999,12.42,20.214089,23.53942,0.0,0.0,0.0
2040,7.4875953,2.4444,24.337895,5.02332,12.42,23.446813,26.473264999999998,0.0,0.0,0.0
2045,7.4875953,2.35704,27.6817,0.6888,12.42,26.457237,29.481076,0.0,0.0,0.0
2050,7.4875953,2.2556,31.328838,0.6888,12.42,29.676527999999998,32.188907,0.0,0.0,0.0
2025,0.0,7.5059,1.3517263,16.3716,12.42,0.2672,8.680703,1.3189992e-11,0.0,0.0
2030,4.6477844,5.04524,24.228696,16.3327,12.42,32.881293,15.821007,4.4646256e-09,0.0,0.0
2035,4.6477844,2.81574,27.264461,15.903979999999999,12.42,38.455707000000004,17.358766,4.4648098999999996e-09,0.0,0.0
2040,4.6477844,2.4444,30.900167,5.02332,12.42,43.53354,18.756017,4.4800511e-09,0.0,0.0
2045,4.6477844,2.35704,34.773141,0.6888,12.42,48.147543,20.274142,4.4800511e-09,0.0,0.0
2050,4.6477844,2.2556,38.284279000000005,0.6888,12.42,53.467055,21.609145,4.4800559e-09,0.0,0.0
2025,0.0,7.5059,1.5205499,16.3716,12.42,0.2672,8.5419597,0.0,0.0,0.0
2030,7.2058863,5.04524,20.458848999999997,16.3327,12.42,27.740821,15.505837999999999,0.0,0.0,0.0
2035,7.2058863,2.81574,23.719952000000003,15.903979999999999,12.42,32.258085,18.031192,0.0,0.0,0.0
2040,7.5275134,2.4444,26.690662,5.02332,12.42,35.729510000000005,20.050297999999998,0.0,0.0,0.0
2045,7.5275134,2.35704,30.284741999999998,0.6888,12.42,40.012499000000005,22.524283,0.0,0.0,0.0
2050,7.5275134,2.2556,33.726665999999994,0.6888,12.42,44.425275,25.016956999999998,0.0,0.0,0.0
2025,0.0,7.5059,1.0763619000000002,16.3716,12.42,0.2672,8.88823,0.0,0.0,0.0
2030,3.260941,5.04524,25.830873,16.3327,12.42,37.969809,15.804889,0.0,0.0,0.0
2035,3.260941,2.81574,28.978205999999997,15.903979999999999,12.42,42.626180999999995,17.707269,0.0,0.0,0.0
2040,3.260941,2.4444,32.125539,5.02332,12.42,47.282553,19.609649,0.0,0.0,0.0
2045,3.260941,2.35704,35.272872,0.6888,12.42,51.938925000000005,21.512029,0.0,0.0,0.0
2050,3.260941,2.2556,38.477343999999995,0.6888,12.42,56.560498,23.39885,0.0,0.0,0.0
2025,0.0,7.5059,1.4819042,16.3716,12.42,0.2672,9.5488493,0.0,0.0,0.0
2030,4.2840449,5.04524,25.545624,16.3327,12.42,42.885469,13.729372999999999,0.0,0.0,0.0
2035,4.2840449,2.81574,28.867074,15.903979999999999,12.42,48.398201,15.529939,8.304662500000001e-11,0.0,0.0
2040,4.2840449,2.4444,32.188524,5.02332,12.42,53.910933,17.330506,8.304662500000001e-11,0.0,0.0
2045,4.2840449,2.35704,35.509974,0.6888,12.42,59.423665,19.131072,8.304662500000001e-11,0.0,0.0
2050,4.2840449,2.2556,38.831424,0.6888,12.42,64.936397,20.931639,8.304662500000001e-11,0.0,0.0
2025,0.0,7.5059,1.3614837,16.3716,12.42,0.2672,8.2971238,1.5444019000000002e-09,0.0,0.0
2030,6.0111794,5.04524,22.405548,16.3327,12.42,38.099142,12.553125,1.7450512e-09,0.0,0.0
2035,6.0111794,2.81574,26.142843,15.903979999999999,12.42,43.344874000000004,14.397935,4.7348405e-09,0.0,0.0
2040,6.0111794,2.4444,30.149683,5.02332,12.42,48.337914,16.217378,4.7359338e-09,0.0,0.0
2045,6.0111794,2.35704,35.010216,0.6888,12.42,52.530636,17.95648,4.7359338e-09,0.0,0.0
2050,6.0111794,2.2556,38.889413999999995,0.6888,12.42,57.643337,19.787935,4.7359338e-09,0.0,0.0
2025,0.0,7.5059,1.4024933000000002,16.3716,12.42,0.2672,9.038846900000001,0.0,0.0,0.0
2030,4.5177401,5.04524,23.558339,16.3327,12.42,32.538178,16.545097000000002,0.0,0.0,0.0
2035,4.5177401,2.81574,26.655706,15.903979999999999,12.42,36.859576000000004,18.798242,0.0,0.0,0.0
2040,4.5177401,2.4444,29.758264999999998,5.02332,12.42,41.20666000000001,21.022108,0.0,0.0,0.0
2045,4.5177401,2.35704,32.864436999999995,0.6888,12.42,45.571623,23.225597,0.0,0.0,0.0
2050,4.5177401,2.2556,35.990826999999996,0.6888,12.42,50.036636,25.315051,0.0,0.0,0.0
