year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
2025,0.0,7.5059,0.1281,16.3716,12.42,4.3300045,7.7782881
2030,5.1942102000000006,5.04524,12.895163,16.3327,12.42,29.923504,21.79155
2035,5.1942102000000006,2.81574,14.913047,15.903979999999999,12.42,35.320288,23.993834
2040,5.1942102000000006,2.4444,17.923470000000002,5.02332,12.42,42.230595,24.692255
2045,5.1942102000000006,2.35704,20.752863,0.6888,12.42,47.307569,26.471375
2050,5.1942102000000006,2.2556,23.456967,0.6888,12.42,50.5668,29.282677
2025,0.0,7.5059,0.1281,16.3716,12.42,2.7393934,8.7346814
2030,2.1094117999999997,5.04524,14.534903,16.3327,12.42,35.128042,23.095881000000002
2035,2.1094117999999997,2.81574,15.664962,15.903979999999999,12.42,38.874631,26.014214
2040,2.1094117999999997,2.4444,17.263428,5.02332,12.42,42.470959,28.725926
2045,2.1094117999999997,2.35704,18.950325,0.6888,12.42,46.075464,31.383705000000003
2050,2.1094117999999997,2.2556,20.395856,0.6888,12.42,49.767729,34.143737
2025,0.0,7.5059,0.1281,16.3716,12.42,1.8158607999999998,9.527259299999999
2030,0.52270673,5.04524,27.381137,16.3327,12.42,48.031764,14.360138000000001
2035,0.52270673,2.81574,29.974083,15.903979999999999,12.42,52.832307,15.874141
2040,0.52270673,2.4444,32.603023,5.02332,12.42,57.811038999999994,17.278461
2045,0.52270673,2.35704,35.207538,0.6888,12.42,63.219515,18.572021
2050,0.52270673,2.2556,37.802447,0.6888,12.42,68.61658100000001,19.882699
2025,0.0,7.5059,0.1281,16.3716,12.42,5.6431385,6.6642257
2030,2.1198859000000003,5.04524,19.130133,16.3327,12.42,31.164156,22.29295
2035,2.1198859000000003,2.81574,21.259880000000003,15.903979999999999,12.42,34.269321000000005,24.883384999999997
2040,2.1198859000000003,2.4444,23.217942,5.02332,12.42,37.830798,27.449552
2045,2.1198859000000003,2.35704,25.335021,0.6888,12.42,40.969633,30.038196
2050,2.1198859000000003,2.2556,27.358843,0.6888,12.42,44.35633,32.613658
2025,0.0,7.5059,0.1281,16.3716,12.42,4.7371549,7.8214711999999995
2030,3.3376911,5.04524,18.273419,16.3327,12.42,31.895148000000002,21.770443
2035,3.5194842,2.81574,19.696429,15.903979999999999,12.42,33.383489999999995,25.354912
2040,3.5194842,2.4444,21.257078,5.02332,12.42,35.425795,29.210119
2045,3.5194842,2.35704,22.831019,0.6888,12.42,38.084459,32.790833
2050,3.5194842,2.2556,24.404738000000002,0.6888,12.42,40.380434,36.528467
2025,0.0,7.5059,0.1281,16.3716,12.42,1.2159807,9.578794400000001
2030,1.6757827,5.04524,16.897501000000002,16.3327,12.42,38.730470999999994,20.855494
2035,1.6757827,2.81574,18.706453,15.903979999999999,12.42,42.691875,23.246865000000003
2040,1.6757827,2.4444,20.557793,5.02332,12.42,46.523112,25.663682
2045,1.6757827,2.35704,22.416966,0.6888,12.42,50.3303,28.085201
2050,1.6757827,2.2556,24.276139,0.6888,12.42,54.137488,30.506719
2025,0.0,7.5059,0.1281,16.3716,12.42,4.5040643,8.0180056
2030,2.5652456999999997,5.04524,26.992834,16.3327,12.42,38.819879,16.032194999999998
2035,2.7491611,2.81574,29.596947,15.903979999999999,12.42,42.75286,17.720669
2040,2.7491611,2.4444,32.48982,5.02332,12.42,47.142258,19.611696
2045,2.7491611,2.35704,35.382692999999996,0.6888,12.42,51.531657,21.502722000000002
2050,2.7491611,2.2556,38.275567,0.6888,12.42,55.921055,23.393749
2025,0.0,7.5059,0.14111802,16.3716,12.42,6.4956492,6.29482
2030,0.85033503,5.04524,29.292079,16.3327,12.42,36.719133,19.186878
2035,0.85033503,2.81574,32.142162,15.903979999999999,12.42,40.395771,21.233227
2040,0.85033503,2.4444,34.992245000000004,5.02332,12.42,44.072409,23.279576000000002
2045,0.85033503,2.35704,37.822144,0.6888,12.42,48.137471,25.183512
2050,0.85033503,2.2556,40.640917,0.6888,12.42,52.347412,27.040885999999997
2025,0.0,7.5059,0.1281,16.3716,12.42,6.0940121,6.6237919000000005
2030,1.2197175999999998,5.04524,18.180131000000003,16.3327,12.42,32.329127,24.678244
2035,1.2197175999999998,2.81574,19.966666,15.903979999999999,12.42,35.323662,27.475033
2040,1.2197175999999998,2.4444,21.7532,5.02332,12.42,38.318197,30.271821
2045,1.2197175999999998,2.35704,23.539734,0.6888,12.42,41.312732000000004,33.06861
2050,1.2197175999999998,2.2556,25.133136,0.6888,12.42,44.838216,35.807323
2025,0.0,7.5059,0.1281,16.3716,12.42,1.8352687,9.4654347
2030,3.7192267,5.04524,16.90174,16.3327,12.42,40.456068,16.007982
2035,3.7192267,2.81574,18.902887999999997,15.903979999999999,12.42,44.585071000000006,18.764844
