,Objective_Value
0,151025.62413052624
1,144134.4899270864
2,147751.60316180554
3,145313.15987939172
4,150157.66949481252
5,143811.85740244229
6,153298.10876623375
7,150554.71340714057
8,144684.08047872595
9,148047.95793741694
10,151490.71363130384
11,146952.77756502014
12,142121.10677481614
13,144736.03808614955
14,151415.98136318842
15,145564.73429389202
16,143058.70076659095
17,141588.8330732935
18,145155.6930996647
19,148376.71931523122
20,145349.56995613946
21,140029.64712269447
22,144907.85670761394
23,144707.6467955658
24,148150.5975494131
25,145264.412143637
26,142505.90039726102
27,141471.164758901
28,144248.04113128953
29,144125.2659357268
30,150819.79045626844
31,144976.1142335825
32,147746.27848257075
33,146356.0488876674
34,150360.96956257024
35,146398.14516297093
36,149279.10118323032
37,143012.76768250696
38,143094.24496925462
39,153008.3263574235
40,153136.8130296057
41,147883.42153233
42,150878.6020567945
43,152237.48628885104
44,149987.01003037303
45,147037.55385486432
46,142784.22644183887
47,142171.35490327285
48,148039.86465818412
49,146936.58737859325
50,146138.99761227932
51,138768.65439760854
52,144203.54888174936
53,146282.76878309948
54,148700.0784684791
55,141578.1187070528
56,142572.89448942555
57,142167.77093482585
58,146560.18910827627
59,150099.860770339
60,147030.65540147922
61,144742.23703863885
62,143987.03263172865
63,145366.2696170638
64,152234.3138155931
65,149041.1929651734
66,147680.330319208
67,145369.34257903614
68,145972.59216242982
69,148835.27888870987
70,153050.47623476852
71,146234.82553209618
72,143924.75215534843
73,146650.00450451468
74,151271.041276622
75,148863.1293596589
76,149573.34566764173
77,143980.5435834149
78,146006.4840680843
79,153135.9640327759
80,148357.93085193328
81,144783.25216913896
82,146356.3039962247
83,147597.7088372367
84,150714.37653027114
85,146318.55723472484
86,150095.21439024186
87,141741.19511771534
88,149686.56480747007
89,150915.7153796943
90,151828.1603701658
91,145881.96906563223
92,144012.02959969937
93,146481.67118039247
94,150003.96052344362
95,145595.5531681842
96,149243.66343837415
97,146973.5733504622
98,142721.4404077072
99,144603.36678825773
100,141064.84056164636
