,Objective_Value
0,156221.6448795294
1,152978.63248534588
2,157709.64916744488
3,154773.3969832028
4,159020.90102511033
5,153656.0256576173
6,160433.40404620708
7,159372.42134442317
8,155375.77193737385
9,152620.7829178958
10,157896.69718772094
11,158245.6817139721
12,156253.38855338015
13,156861.9211097045
14,157858.645400424
15,161991.67661385232
16,157834.5685319376
17,164737.83858055045
18,162965.1319921096
19,157849.95785121334
20,153569.45197927143
21,159837.83057783608
22,165706.29265550917
23,157486.06705360717
24,155331.26018490214
25,156793.48008852956
26,161391.50933199388
27,156514.6395960776
28,158418.51339921792
29,155346.48600442533
30,153331.72926947306
31,152565.0629167667
32,160614.92318502386
33,164277.20813072374
34,156510.43326129284
35,157360.53406224964
36,153780.30948933683
37,158575.65250637743
38,152954.20923527845
39,161039.28754883475
40,156687.5868399623
41,154388.0598205674
42,155440.356830593
43,159393.75449884983
44,165470.88174664933
45,157169.94687420022
46,160358.08616729747
47,160784.1917264292
48,159836.07405382418
49,156206.70975739343
50,161684.26992840256
51,160250.00804757178
52,159735.6253454738
53,158855.54869861266
54,162313.54297485948
55,160591.68357155478
56,156288.57521300478
57,156373.64924389432
58,154545.63490408557
59,158893.8429672823
60,153911.86121991978
61,159684.69907580598
62,154982.91130207205
63,156683.60937511115
64,156937.43438418745
65,159510.4145786264
66,160182.5556850315
67,154373.47977244033
68,158451.08556016366
69,158680.58536485894
70,164320.86163535956
71,157289.95138334105
72,157318.34626703046
73,156176.43786267564
74,154565.19585619328
75,153916.33220848924
76,160052.5684388103
77,167353.6960672397
78,158784.52139852123
79,157802.95178908235
80,158822.8342501125
81,158492.1982918294
82,155257.29633882793
83,162002.58000562692
84,157182.53114814873
85,154600.95245805563
86,153280.02173587467
87,157934.73457934015
88,166716.16580939572
89,157621.98996229228
90,158716.70164599607
91,163582.62460022615
92,163152.15537298992
93,163104.90412189093
94,161762.74782988217
95,157090.91965450477
96,153659.31578028927
97,156245.729693692
98,161163.38446377544
99,161144.98346205946
100,156332.9190970302
101,158006.36204507868
102,156424.6856408583
103,162747.3041781261
104,155758.60704876564
105,162266.7485593063
106,157685.50244676782
107,157229.91826869737
108,154907.93428796803
109,162118.993501127
110,165753.98066113162
111,156594.4565518783
112,159957.85724889062
113,156165.26441948503
114,159976.0117831899
115,158430.07921735413
116,163650.6987445862
117,162098.07871535563
118,161387.7315083723
119,156198.01783699638
120,160746.35962631257
121,141064.84056119845
