,Objective_Value
0,175088.40302199332
1,165874.1679961857
2,170334.32827771816
3,167081.2163367925
4,172996.3062213183
5,165616.77579629657
6,176941.6239762298
7,173505.60222677232
8,165887.92909998298
9,171835.13142189776
10,175634.3087246204
11,168798.44335650548
12,162916.65237709615
13,166240.09310396097
14,174925.63951032437
15,167287.0441246395
16,164099.94629983528
17,162356.8737284844
18,166851.5968589077
19,172094.6579474491
20,166882.3411874143
21,159823.46907019257
22,167503.33637768042
23,166806.74600399772
24,170583.4065551
25,166856.56784795068
26,163421.64071062356
27,162192.3783582257
28,165509.99165003738
29,166447.04357387696
30,174887.50475664606
31,166312.78853006233
32,170372.3722770642
33,168705.28262450563
34,173477.02944086574
35,168963.46244761063
36,172534.0199589389
37,164957.68270342544
38,164368.2267963689
39,177724.73730435834
40,177920.17307296977
41,171442.26877801804
42,174827.40644020026
43,176505.0208423283
44,173672.29233980473
45,170853.2203135476
46,164098.9269197863
47,163824.00955792336
48,170974.6334108957
49,170182.34875940057
50,168727.3534546842
51,158433.027871738
52,166551.5902573498
53,168691.11736128374
54,171232.29275331224
55,162366.94956546297
56,163244.9360780087
57,162914.12980077195
58,168091.04876084856
59,174710.45853941565
60,169856.25595158865
61,167087.9185881638
62,165671.98234636054
63,168507.5862821545
64,176081.229095444
65,171961.07059571217
66,170401.89942214137
67,168224.65508782212
68,169173.47199470166
69,173052.72667578614
70,177512.82142609483
71,167786.5542854109
72,165552.09340003243
73,169476.40679941978
74,174934.99902417287
75,171621.45015014516
76,172486.1102663874
77,165506.86393816822
78,168098.085121239
79,178501.46201130017
80,171420.45806100953
81,164571.49875761152
82,169461.3996266746
83,169913.00418232146
84,173568.02788451643
85,167729.843129229
86,172513.13791226293
87,161502.92114927422
88,172434.05721096086
89,173420.8317254339
90,176036.2823145369
91,167439.07152617758
92,165276.52432692185
93,168629.08770667465
94,173335.00938131244
95,167623.8767592759
96,172316.508795275
97,169247.94900929963
98,164002.45464759954
99,166338.2147477259
100,163307.48896325292
