,Objective_Value
0,182390.60144361798
1,177991.47127713473
2,184183.02072164806
3,180761.60937343576
4,186010.86688270158
5,179382.1323827784
6,188014.67544116653
7,186985.12228658106
8,181512.00248293887
9,177708.0752665657
10,184876.7230850295
11,185303.77715809343
12,182170.786888821
13,183178.69125635456
14,185057.67543345978
15,190238.22385285766
16,185080.24723918102
17,193820.28561945664
18,191820.4896106889
19,184613.42167555395
20,178866.02175614584
21,187321.84176059035
22,195509.21533947586
23,184545.44502846937
24,181666.36582518616
25,183414.89302236648
26,189450.2492235531
27,183271.8100186236
28,185267.33667534715
29,181515.23888560603
30,178372.7789691518
31,177410.80337562243
32,188372.59212390214
33,193570.5326524322
34,183148.77074852076
35,183836.20620495942
36,179231.45425392446
37,185421.51251949443
38,178333.10036204883
39,188927.82219884876
40,183460.65032332076
41,180064.0624059095
42,181554.78961293653
43,186707.68641257088
44,195213.03921165218
45,184136.140949399
46,187960.5578128099
47,188970.71058092162
48,187174.64886402158
49,182557.11677768736
50,189993.12208751153
51,188404.5509029376
52,187360.43279052628
53,186105.4686298849
54,190816.41196665823
55,188438.09189940756
56,182832.77891905603
57,182918.98566898837
58,180462.39422181773
59,186103.5381452764
60,179642.10062368924
61,187120.9280400859
62,180969.52664176453
63,183008.15154006286
64,183523.92459985084
65,186869.4652344153
66,187798.57750198376
67,180315.12666671086
68,185871.2946525343
69,186201.7506939645
70,193542.89148441868
71,184293.79652808592
72,183902.11959486402
73,182330.9724752551
74,180215.67709408212
75,179448.0466926829
76,187921.57597282392
77,197698.05914309743
78,185669.22748434925
79,184327.53786218053
80,186255.3158437937
81,185510.21627809276
82,181206.4884695791
83,190187.77107823847
84,183868.32758234785
85,180381.20011641676
86,178593.39339054856
87,184827.97306555606
88,196782.62578219405
89,184682.87114294994
90,185863.1815329395
91,192800.69601980876
92,191879.76088766783
93,192168.32366558147
94,189907.05199071925
95,183957.510387401
96,178888.3624600146
97,182604.34503234774
98,189102.25087203563
99,189187.04208494688
100,182938.39410401866
101,185031.67591290188
102,182868.82104810755
103,191235.74554066593
104,181968.93886089957
105,190558.42968690954
106,184619.76480810926
107,183690.4179949474
108,180832.9159843334
109,190531.74148083932
110,195505.16473894054
111,183079.8246208848
112,187476.59899423335
113,182740.95600967508
114,187516.2546985222
115,185391.57430525534
116,192633.74268124238
117,190799.46941145562
118,189451.76169344023
119,182607.5107861462
120,188577.4739097009
121,163307.48896325292
