time,power_data,power_norm
0.0,0.0,-246.304867071
1.0,0.0,-207.638905109
2.0,0.0,-262.708084276
3.0,0.0,-127.894690123
4.0,0.0,-64.2875633535
5.0,0.0,-237.769718753
6.0,0.0,-232.325318814
7.0,3581.23158251,2896.60421045
8.0,1318.33844271,2762.17163571
9.0,1332.34477593,2851.53394875
10.0,1447.37284256,2515.68729281
11.0,1341.18513721,2043.24766091
12.0,1326.12990337,1003.45178264
13.0,1322.60846059,1110.15495582
14.0,1300.60977612,1060.51734115
15.0,354.840942058,593.338081127
16.0,1190.65949015,-225.229373022
17.0,0.0,-79.9299864137
18.0,0.0,-99.533572941
19.0,0.0,-181.059448067
20.0,0.0,-292.893625197
21.0,0.0,-329.347680939
22.0,0.0,-226.636897094
23.0,0.0,-154.079852936
24.0,0.0,-154.862098792
25.0,0.0,-75.2807758492
26.0,0.0,-168.700242305
27.0,0.0,-236.252963935
28.0,0.0,-241.937626244
29.0,0.0,-179.364382761
30.0,0.0,-105.158307792
31.0,61.7152222847,-653.054143621
32.0,300.75651261,-751.685154249
33.0,403.712337183,-752.238499898
34.0,319.747573392,-621.737715852
35.0,315.105765887,-416.388317506
36.0,292.913647816,-9.94680314067
37.0,317.317397149,1105.58744693
38.0,243.980393468,-286.596852855
39.0,264.16897949,-371.182016852
40.0,1306.36408819,323.083818091
41.0,0.0,-4.94966094797
42.0,0.0,-50.589613644
43.0,0.0,-84.2376342305
44.0,0.0,-145.179570605
45.0,0.0,-173.141264815
46.0,0.0,-165.180474014
47.0,0.0,-206.771450315
48.0,0.0,-65.3780992596
49.0,0.0,47.9576254561
50.0,0.0,-123.751272821
51.0,0.0,-115.192785527
52.0,0.0,-127.142710997
53.0,0.0,-158.191066802
54.0,0.0,-93.9779702093
55.0,1454.40289825,932.210457661
56.0,1345.35870133,2717.80820709
57.0,1335.96609124,2492.04207851
58.0,1353.79614819,1977.18790686
59.0,2665.85282446,-398.663484799
60.0,1290.44728491,-246.129453508
61.0,757.231631317,-367.668405661
62.0,370.21287468,-595.692898077
63.0,322.318156693,-538.825911679
64.0,387.610478093,-368.134242468
65.0,0.0,23.0751561083
66.0,0.0,-26.9502833881
67.0,0.0,-164.77393681
68.0,0.0,-123.68059673
69.0,0.0,-36.8022295876
70.0,0.0,-116.014200917
71.0,0.0,-109.095291995
72.0,0.0,-135.435460557
73.0,0.0,-91.0963637629
74.0,0.0,992.920134299
75.0,0.0,460.83139726
76.0,0.0,-112.597235123
77.0,0.0,-90.2902831115
78.0,0.0,37.0919372224
79.0,192.8664956,232.225675512
80.0,1316.19552064,853.407200592
81.0,1323.90140761,1924.46908395
82.0,1341.00230883,944.922962231
83.0,1319.17570802,2389.10749998
84.0,1329.87450192,3194.66503457
85.0,1324.34555512,3174.13097562
86.0,859.976820438,2916.01462495
87.0,1408.30267317,2132.43003278
88.0,1360.10015349,2507.5430391
89.0,0.0,-137.236111121
90.0,0.0,8.69398845356
91.0,0.0,-88.1540747474
92.0,0.0,-152.394332967
93.0,0.0,-77.009581467
94.0,0.0,-158.332985311
95.0,0.0,72.9345278712
96.0,0.0,-85.9208999043
97.0,0.0,-206.608087244
98.0,0.0,-114.472605544
99.0,0.0,-91.1243880224
100.0,0.0,-212.955283404
101.0,0.0,159.358649467
102.0,0.0,-142.332738854
103.0,2163.15683925,103.972077724
104.0,1335.0728404,1481.16146381
105.0,1320.47220581,2649.4132427
